Participant ID,Previous ID,Date Started,Date Finished,Total Time Taken,IP Address,Referer,Question Order,Section Order,Section Order Names,ABOUT YOU,What is your nationality? --  --  --  --   --  -- ,What is your gender? Please specify.  --  -- ,What is your age group? Please specify.  --  -- ,Please specify,What is your total household income? Please write it down in numbers.  --  -- ,What is your marital status?  Please select one of the answers below. --  -- ,Do you have children?  Please select one of the answers below. --  -- ,Have you studied in the UK before? Please select one of the answers below. --  -- ,ABOUT YOUR OPINIONS,Would a possible increase in tuition fees avert you or your children (if applicable) from studying in the UK after the transition period?  --  -- ,Would a possible cessation in UK student loans towards the EU students avert you or your children (if applicable) study in the UK after the transition period?  --  -- ,Would a possible non-recognition of the UK diploma from the other European countries affect your decision to study in the UK after the transition period?  --  -- ,"Would you study in the UK after the transition period, if you did not have the right to stay and work there after the completion of the degree?  --  --  --  -- Would you send your children to study in the UK, according to the above criteria?  --  -- ",Which of the following would avert you or your children (if applicable) the most from studying in the UK after the transition period?  --  --  --  -- Please select only one answer.  --  -- ,Are you concerned about how the future political decisions of the UK will affect the British Higher Education for the EU citizens?  --  -- ,Would you be willing for you or your children (if applicable) to study in the UK if the conditions change?  --  -- ,Would you be willing for you or your children (if applicable) to study in the UK if all the conditions stay the same?  --  -- ,"According to the current situation and the unverified uncertainties, are you more likely to stay a future customer of the UK Higher Education or not?  --  --  --  -- Same applies to your children (if applicable).  --  -- ","In case you or your children (if applicable) are not willing to study in the UK, in which other EU country would you select to study and why?  --  --  --  -- Please justify your answer if you like.  --  -- ",,,,,,,,,,,,,,,,,
4069210,--,6th May 2020 10:17 pm,6th May 2020 10:19 pm,"2 minutes, 34 seconds",152.78.118.247,https://www.isurvey.soton.ac.uk/admin/preview.php?surveyID=37225,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Dutch,male,MATRIX START,26-34,15000,Single,No,Yes,Section Start,No,No,No,No,Non-recognition of the degree,Yes,No,Yes,No,Netherlands,,,,,,,,,,,,,,,,,
4163826,--,1st Jul 2020 9:35 am,1st Jul 2020 9:39 am,"3 minutes, 56 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,22000,Single,No,Yes,Section Start,No,No,Yes,Do not know yet,Non-recognition of the degree,Yes,Yes,Yes,Yes,"Netherlands, Cyprus",,,,,,,,,,,,,,,,,
4163862,--,1st Jul 2020 10:07 am,1st Jul 2020 10:15 am,"8 minutes, 16 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,26-34,37000,None of the above,No,No,Section Start,Yes,Do not know yet,Yes,No,No work permit,Yes,Yes,Do not know yet,No,Netherlands or Germany ,,,,,,,,,,,,,,,,,
4163920,--,1st Jul 2020 11:03 am,1st Jul 2020 11:07 am,"4 minutes, 47 seconds",152.78.118.247,http://m.facebook.com,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,female,MATRIX START,18-25,300,Single,No,Yes,Section Start,Yes,Yes,Yes,No,No work permit,Yes,No,Do not know yet,No,"Netherlands: cheaper, friendlier, high quality education and quality of life ",,,,,,,,,,,,,,,,,
4164010,--,1st Jul 2020 12:00 pm,1st Jul 2020 12:04 pm,"3 minutes, 53 seconds",152.78.118.247,,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,35-44,100000,Single,No,Yes,Section Start,Yes,Yes,Yes,Yes,No work permit,Yes,Yes,Yes,Yes,Thanks,,,,,,,,,,,,,,,,,
4164074,--,1st Jul 2020 12:27 pm,1st Jul 2020 12:33 pm,"5 minutes, 45 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,26-34,100000,Single,No,Yes,Section Start,No,No,No,No,No work permit,No,Do not know yet,Yes,Yes,Do not know yet.,,,,,,,,,,,,,,,,,
4164249,--,1st Jul 2020 2:05 pm,1st Jul 2020 2:07 pm,"2 minutes, 23 seconds",152.78.118.247,http://m.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,greek,female,MATRIX START,26-34,35000,Single,No,Yes,Section Start,Yes,Yes,Yes,No,No work permit,Yes,Yes,No,No,"Ireland
Denmark",,,,,,,,,,,,,,,,,
4164279,--,1st Jul 2020 2:21 pm,1st Jul 2020 2:24 pm,"2 minutes, 25 seconds",152.78.118.247,https://lm.facebook.com/,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Greek,male,MATRIX START,18-25,240000,Single,No,Yes,Section Start,Yes,Yes,Yes,No,International Tuition Fees,Yes,No,Yes,No,The Netherlands,,,,,,,,,,,,,,,,,
4164283,--,1st Jul 2020 2:25 pm,1st Jul 2020 2:28 pm,"2 minutes, 48 seconds",152.78.118.247,,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,french,male,MATRIX START,35-44,70000,Married,Yes,No,Section Start,No,No,Yes,Do not know yet,Non-recognition of the degree,No,Yes,Yes,Yes,france,,,,,,,,,,,,,,,,,
4164286,--,1st Jul 2020 2:27 pm,1st Jul 2020 2:30 pm,"3 minutes, 9 seconds",152.78.118.247,,"1679693, 1679694, 1679697, (1679700, ) 1679717, 1679719, 1679720, 1679721, || 1679816, 1679817, 1679818, 1679819, 1679820, 1679821, 1679822, 1679823, 1679824, 1679826, || ",151115 || 151116 || ,About You || About your Opinions,Section Start,Portugish,male,MATRIX START,26-34,50000,Single,No,No,Section Start,Do not know yet,No,No,Yes,International Tuition Fees,Do not know yet,Do not know yet,Do not know yet,Yes,no,,,,,,,,,,,,,,,,,
